count,left,right
6,1.2793400556225158,2.1916114352364975
21,2.1916114352364975,3.1038828148504796
25,3.1038828148504796,4.016154194464462
33,4.016154194464462,4.928425574078443
27,4.928425574078443,5.840696953692425
24,5.840696953692425,6.7529683333064074
17,6.7529683333064074,7.665239712920389
12,7.665239712920389,8.57751109253437
9,8.57751109253437,9.489782472148352
9,9.489782472148352,10.402053851762334
2,10.402053851762334,11.314325231376316
5,11.314325231376316,12.226596610990299
4,12.226596610990299,13.13886799060428
2,13.13886799060428,14.051139370218262
1,14.051139370218262,14.963410749832244
0,14.963410749832244,15.875682129446226
0,15.875682129446226,16.78795350906021
2,16.78795350906021,17.70022488867419
0,17.70022488867419,18.612496268288172
1,18.612496268288172,19.524767647902152
