x1,x2,group
6.196765122683464,7.792916096966867,gamma
7.64699055424351,9.591673781397047,gamma
5.670012643771979,4.993185135936677,gamma
4.147775830179755,3.6081152483958485,gamma
2.741910299722128,6.920892902581961,gamma
6.821581801943946,13.099112653556052,gamma
7.1689410507828875,14.316188968090927,gamma
9.233078532189866,13.408030227937184,gamma
9.133952719952973,6.884865292743621,gamma
9.44069363582993,3.712393072204892,gamma
6.0831290151953175,9.045177984162732,gamma
6.799002769674854,7.446454419235273,gamma
8.054952281536305,6.249553049087014,gamma
7.190991365077007,6.8363978138979675,gamma
8.401354025460396,13.517580325227303,gamma
6.1728127472625305,4.229126719289642,gamma
8.282512227372909,13.111779970268396,gamma
8.016610816012756,9.86374320715976,gamma
6.448947772582952,5.9168346995646885,gamma
9.912870156419613,3.945891375505193,gamma
7.304073751006623,5.847125412487735,gamma
11.138608800228049,9.793835524332938,gamma
7.687382560368701,13.179925970021698,gamma
9.079087035365943,7.768273498731279,gamma
4.0920446754292765,13.79670131623467,gamma
6.356781387598256,3.2724219070393086,gamma
6.586037759657447,6.33570032605635,gamma
7.713718137548795,12.04495599056236,gamma
7.031992214050939,9.537225547754062,gamma
6.520521541575169,8.01851036665771,gamma
3.7925071248848714,4.144653692276452,gamma
3.1704094821026527,8.789619387619846,gamma
9.515819610691066,2.993308476343821,gamma
5.863049849731503,7.143699913231932,gamma
8.00520097589905,7.297342602413176,gamma
6.600067054267143,9.7167888855654,gamma
9.821891389705149,12.024022675433788,gamma
7.242763377110719,14.050250039700016,gamma
6.184995490033249,8.81510530061022,gamma
8.70273940604464,9.644387270707435,gamma
8.715186520880321,4.8913489751901915,gamma
9.52520477054218,8.75448319132237,gamma
7.130778434994568,6.516466353130304,gamma
6.191091565186634,3.976002651152971,gamma
8.562175064607327,8.517857904604481,gamma
5.405774883255742,3.6293534184233636,gamma
9.463938342692684,5.015817145329468,gamma
2.356484759431342,16.95107496274054,gamma
9.999022616421676,15.673365735524635,gamma
6.1376485564751215,9.086729211708798,gamma
7.571229789031037,10.244640739733002,gamma
8.408991720422142,4.327629473186206,gamma
6.890283860160599,6.276827213507231,gamma
5.864022374146168,6.928712351922562,gamma
7.77844602325556,10.620004813138156,gamma
6.775522204018536,9.631410322938251,gamma
9.663360429895565,11.294424832196704,gamma
10.128027644275855,5.033139810548027,gamma
7.381301324302402,7.351871086997775,gamma
5.903849049658696,4.177252135080798,gamma
5.003561137332115,5.784581205435779,gamma
7.08899873519261,3.0824413010962814,gamma
4.509470071228502,8.288819664571816,gamma
7.635011701705623,3.7703155484275537,gamma
8.954846794174427,10.92569284927643,gamma
7.09216199144874,9.855920572590364,gamma
3.8184978526228845,13.588050736552226,gamma
8.25115958510778,5.503802064497264,gamma
9.114557317463225,7.52321448459481,gamma
6.267285821214764,3.0936613837467792,gamma
9.871503972828776,12.514104102463174,gamma
4.023218042269673,8.084698205112867,gamma
5.073286156286016,8.747231671778545,gamma
1.6961391242203598,6.051034147129388,gamma
3.5146010749663565,7.172877700602687,gamma
6.6583700129958405,4.58684143600278,gamma
8.984572575140266,11.89669788864872,gamma
8.094000615497404,7.365341140090507,gamma
11.344477833947977,7.898891793409838,gamma
6.142539439708075,7.23515275046773,gamma
6.579498232296741,3.0281566109478337,gamma
8.618722724064494,6.027566076243594,gamma
5.909737301332497,18.755578039959136,gamma
4.4962961502951995,4.3897884880661575,gamma
6.6966942349311385,2.105508785503813,gamma
6.069781973494369,6.389841674658272,gamma
9.654093591331158,11.006885937215095,gamma
4.540525170784087,3.7095975040675735,gamma
7.374852169012321,9.12390828851326,gamma
7.27262871173625,11.984146845943117,gamma
3.6835918530343186,5.90583335955543,gamma
5.13093977826683,4.22654453683843,gamma
9.37934700894214,8.68154778985216,gamma
5.732614139362185,5.498657885126279,gamma
3.5071163526217757,8.463149045742567,gamma
5.189438234908198,11.216743331630658,gamma
5.357335745337552,9.616443028817343,gamma
7.92819516860491,6.323651180344082,gamma
5.59378387078616,10.90164975467443,gamma
10.997623738108311,2.712713799195166,gamma
7.662829288436409,5.447343737310543,gamma
8.686437388754692,6.209434723358001,gamma
8.34091464400165,7.471249596651546,gamma
